id_cliente,par30,tasa_crecimiento,margen_utilidad,margen_cashflow,variabilidad_ingresos,antiguedad,concentracion_clientes,concentracion_proveedores,factor_perdida_clientes,taxcompliance_value,blackliststatus_value,blacklistedcounterparties_value,intercompanytransactions_value,customerconcentration_value,supplierconcentration_value,foreignexchangerisk_value,cashtransactionrisk_value,accountinginsolvency_value,canceledissuedinvoices_value,canceledreceivedinvoices_value,Kruskal_ley_benford,kolmogorov_ley_benford
10001,0,17.24,-8.67,-24.18,51.01,39,38.32,26.53,49.44,positive,,0,0,1145,505,0,0.06,4.81,0.06,0.04,0.75727775,0.989469354
10002,1,1,4.18,-6.63,82.71,108,12.81,44.57,23.15,positive,,0,,3663,931,0,0.39,,0.02,0.02,0.507800648,0.989469354
10003,0,3.93,84.81,87.28,72.95,69,15.95,45.28,54.05,negative,,0,0,540,2980,0,0.08,,0.03,0.01,0.75727775,0.730111065
10004,1,9.08,-32.76,-11.59,166.5,77,77.29,23.25,21.05,negative,,0,0,7278,488,0,0.05,1.4,0.01,0.03,0.75727775,0.989469354
10005,0,28.79,-15.27,-859.9,148.39,52,64.69,52.13,18.18,negative,,0,0,1925,1825,0,0.11,0.93,0.05,0.03,0.825282898,0.989469354
10006,1,3.13,6.22,-119.74,105.06,50,63.8,41.32,46.11,positive,,0,0,4569,744,0,0.08,1.62,0.02,0.02,0.085089073,0.033566434
10007,1,15.34,13.83,-271.97,206.1,111,0.15,28.76,30.08,negative,,0,0,7371,684,0,0.28,1.04,0.16,0.03,0.085089073,0.125874126
10008,0,7.68,13.75,-21.09,40.99,68,52.29,31.73,50,positive,,0,,1456,696,0,0.03,2.21,0.08,0.02,0.89462581,0.989469354
10009,1,15.71,9.47,-82.66,42.56,45,48.68,42.74,68.79,negative,,0,0,2808,1214,0,0.16,1.39,0.01,0.03,0.046944727,0.033566434
10010,1,0,4.63,-12.76,70.41,46,88.93,97.69,100,negative,,0,,7738,2865,0,0.27,,0.11,0.01,0.691102224,0.730111065
10011,1,0,-279.4,-13.5,14.04,111,0,91.97,54.49,positive,,0,,3485,888,0,0.09,,0.07,0.05,0.825194132,0.989469354
10012,0,-1.89,12.89,-260.31,23.93,61,88.58,54.75,50,negative,,0,0,4073,1956,0,0.07,0.93,0.04,0.04,0.401541988,0.730111065
10013,1,-6.46,6.83,33.97,78.12,111,99.84,89.59,33.33,negative,,0,0,10000,6148,0,0,3.87,0.88,0,0.825282898,0.989469354
10014,0,5.03,-18.9,-6.98,45.07,69,21.71,51.29,39.64,positive,,0,0,461,1613,0,0.31,1.34,0.01,0.01,0.565992148,0.730111065
10015,1,-2.43,15.3,3.18,68.01,88,16.64,29.35,55.67,positive,,0,0,2935,542,0.14,0.32,1.18,0.03,0.03,0.964783978,1
10016,0,-1.32,11.24,34.96,71.03,111,18,31.9,62.42,positive,,0,0,561,478,0,0.05,,0.05,0.02,0.89462581,0.989469354
10017,0,-3.61,19.93,-12.76,25.95,111,98.26,80.52,80,positive,,0,0,5118,4991,0,0,2.07,0.09,0.08,0.30987955,0.351707116
10018,0,2.93,20.45,-40.7,127.77,111,86.05,23.92,43.33,negative,,0,0,9995,650,0,0.25,1.19,0.12,0.02,0.825282898,0.989469354
10019,0,16.03,-13.06,12.12,97.62,48,2.14,74.28,30.43,positive,,0,0,1853,4405,0,0.29,1.45,0.05,0.02,0.75727775,0.989469354
10020,1,17.06,95.93,96.36,111.68,38,35.48,59.36,35.94,positive,,0,0,820,2448,0,0,0.97,0.04,0.01,0.691102224,0.989469354
10021,0,1.95,20.08,41.28,56.4,102,14.84,64.05,18.29,negative,,0,0,1611,2436,0,0.11,1.43,0.03,0.01,0.565992148,0.730111065
10022,0,18.36,-17.33,18.92,163.56,51,57.9,45.94,51.61,negative,,0,0,3587,405,0,0.06,0.7,0.15,0.09,0.691102224,0.730111065
10023,1,-4.88,-88.9,-24.82,44.16,29,63.88,25.05,36.36,negative,,0,0,8986,1645,0.01,0.05,0.43,0.07,0.06,0.452679181,0.730111065
10024,0,3.63,0.83,-0.48,60.08,85,26.83,90.35,39.66,positive,,0,0,670,5793,0,0.03,,0.07,0.03,0.75727775,0.989469354
10025,0,3.6,25.08,26.26,89.58,111,81.6,34.78,46.94,negative,,0,,2068,1251,0,0.14,,0.03,0,0.825282898,1
10026,0,0,-6.16,-49.81,25.45,84,0,42.83,54.49,negative,,0,,,2005,0,0.01,,,0.01,0.353836901,0.351707116
10027,0,3.35,0.49,7.78,97.04,111,39.12,20.16,50.4,positive,,0,0,1379,493,0,0.02,1.06,0.07,0.02,0.89462581,0.989469354
10028,0,8.53,-11.15,-21,82.15,59,34.14,57.26,58.06,positive,,0,,1741,1339,0,0.18,,0.03,0.04,0.89462581,0.989469354
